Loss_im,psnr
5849.7383,10.5563
5849.7383,10.5563
5849.7383,10.5563
7793.4876,15.226
7793.4876,15.226
7793.4876,15.226
4555.4554,16.4587
4555.4554,16.4587
4555.4554,16.4587
3136.7965,18.4299
3136.7965,18.4299
3136.7965,18.4299
2376.1997,19.0784
2376.1997,19.0784
2376.1997,19.0784
2054.3778,21.1489
2054.3778,21.1489
2054.3778,21.1489
1717.0417,21.1079
1717.0417,21.1079
1717.0417,21.1079
1466.9868,22.7192
1466.9868,22.7192
1466.9868,22.7192
1565.0106,24.2861
1565.0106,24.2861
1565.0106,24.2861
1381.4294,25.0818
1381.4294,25.0818
1381.4294,25.0818
1183.276,23.4391
1183.276,23.4391
1183.276,23.4391
1183.974,26.8401
1183.974,26.8401
1183.974,26.8401
781.4376,26.592
781.4376,26.592
781.4376,26.592
791.4988,25.9315
791.4988,25.9315
791.4988,25.9315
939.3958,25.8076
939.3958,25.8076
939.3958,25.8076
837.3547,26.1358
837.3547,26.1358
837.3547,26.1358
738.1853,27.4906
738.1853,27.4906
738.1853,27.4906
631.2145,27.8917
631.2145,27.8917
631.2145,27.8917
699.1886,29.4751
699.1886,29.4751
699.1886,29.4751
606.4864,28.0972
606.4864,28.0972
606.4864,28.0972
692.5454,27.7288
692.5454,27.7288
692.5454,27.7288
659.3789,28.8236
659.3789,28.8236
659.3789,28.8236
587.9538,29.0531
587.9538,29.0531
587.9538,29.0531
567.9473,28.4653
567.9473,28.4653
567.9473,28.4653
581.8415,29.218
581.8415,29.218
581.8415,29.218
628.1393,30.4088
628.1393,30.4088
628.1393,30.4088
475.8434,30.1375
475.8434,30.1375
475.8434,30.1375
530.3487,29.1854
530.3487,29.1854
530.3487,29.1854
503.2638,28.8751
503.2638,28.8751
503.2638,28.8751
469.297,30.1909
469.297,30.1909
469.297,30.1909
513.9271,29.7986
513.9271,29.7986
513.9271,29.7986
458.535,30.163
458.535,30.163
458.535,30.163
431.5008,31.1397
431.5008,31.1397
431.5008,31.1397
461.2231,29.7679
461.2231,29.7679
461.2231,29.7679
462.8319,30.2926
462.8319,30.2926
462.8319,30.2926
477.3009,31.1134
477.3009,31.1134
477.3009,31.1134
428.9997,31.3679
428.9997,31.3679
428.9997,31.3679
476.9714,30.2727
476.9714,30.2727
476.9714,30.2727
435.4736,30.9386
435.4736,30.9386
435.4736,30.9386
426.1152,31.2959
426.1152,31.2959
426.1152,31.2959
441.2994,31.3087
441.2994,31.3087
441.2994,31.3087
415.1335,31.4029
415.1335,31.4029
415.1335,31.4029
380.2096,31.5767
380.2096,31.5767
380.2096,31.5767
400.8688,30.7926
400.8688,30.7926
400.8688,30.7926
419.1329,31.8613
419.1329,31.8613
419.1329,31.8613
459.0754,30.712
459.0754,30.712
459.0754,30.712
419.8547,32.6502
419.8547,32.6502
419.8547,32.6502
428.2805,30.532
428.2805,30.532
428.2805,30.532
422.1012,31.8094
422.1012,31.8094
422.1012,31.8094
405.6271,32.4049
405.6271,32.4049
405.6271,32.4049
334.5151,31.383
334.5151,31.383
334.5151,31.383
355.5631,32.4613
355.5631,32.4613
355.5631,32.4613
372.7056,32.2351
372.7056,32.2351
372.7056,32.2351
359.0982,31.7568
359.0982,31.7568
359.0982,31.7568
335.8102,31.5162
335.8102,31.5162
335.8102,31.5162
424.517,32.4298
424.517,32.4298
424.517,32.4298
367.9959,31.1869
367.9959,31.1869
367.9959,31.1869
407.5194,32.0766
407.5194,32.0766
407.5194,32.0766
420.989,32.5712
420.989,32.5712
420.989,32.5712
376.0265,32.3284
376.0265,32.3284
376.0265,32.3284
383.4102,31.6378
383.4102,31.6378
383.4102,31.6378
361.2955,31.8623
361.2955,31.8623
361.2955,31.8623
345.1953,31.8661
345.1953,31.8661
345.1953,31.8661
382.6148,32.4735
382.6148,32.4735
382.6148,32.4735
381.8216,32.4626
381.8216,32.4626
381.8216,32.4626
420.3905,31.9843
420.3905,31.9843
420.3905,31.9843
402.0317,32.3661
402.0317,32.3661
402.0317,32.3661
407.5804,32.2774
407.5804,32.2774
407.5804,32.2774
347.7772,31.5917
347.7772,31.5917
347.7772,31.5917
431.0297,31.1375
431.0297,31.1375
431.0297,31.1375
429.1327,31.3648
429.1327,31.3648
429.1327,31.3648
419.1064,31.2348
419.1064,31.2348
419.1064,31.2348
384.9131,31.4154
384.9131,31.4154
384.9131,31.4154
424.7675,31.1036
424.7675,31.1036
424.7675,31.1036
369.5158,32.1748
369.5158,32.1748
369.5158,32.1748
384.0962,31.7631
384.0962,31.7631
384.0962,31.7631
406.7926,32.9211
406.7926,32.9211
406.7926,32.9211
396.616,32.1836
396.616,32.1836
396.616,32.1836
349.6941,31.923
349.6941,31.923
349.6941,31.923
349.7447,31.5094
349.7447,31.5094
349.7447,31.5094
360.6982,32.292
360.6982,32.292
360.6982,32.292
371.8933,31.9443
371.8933,31.9443
371.8933,31.9443
361.7732,31.3482
361.7732,31.3482
361.7732,31.3482
433.5103,33.0917
433.5103,33.0917
433.5103,33.0917
396.5186,31.7275
396.5186,31.7275
396.5186,31.7275
410.1788,30.8341
410.1788,30.8341
410.1788,30.8341
395.0525,31.9709
395.0525,31.9709
395.0525,31.9709
392.6184,32.4508
392.6184,32.4508
392.6184,32.4508
399.566,31.9012
399.566,31.9012
399.566,31.9012
406.7813,33.8519
406.7813,33.8519
406.7813,33.8519
364.0786,31.756
364.0786,31.756
364.0786,31.756
377.4231,32.5512
377.4231,32.5512
377.4231,32.5512
382.9753,32.1886
382.9753,32.1886
382.9753,32.1886
382.8579,32.852
382.8579,32.852
382.8579,32.852
404.0319,32.1545
404.0319,32.1545
404.0319,32.1545
414.111,33.1274
414.111,33.1274
414.111,33.1274
347.7759,32.2557
347.7759,32.2557
347.7759,32.2557
441.7037,32.5499
441.7037,32.5499
441.7037,32.5499
389.3406,32.8877
389.3406,32.8877
389.3406,32.8877
373.3378,33.1475
373.3378,33.1475
373.3378,33.1475
374.7403,31.6518
374.7403,31.6518
374.7403,31.6518
377.814,33.4603
377.814,33.4603
377.814,33.4603
357.1396,32.7037
357.1396,32.7037
357.1396,32.7037
347.6635,33.5007
347.6635,33.5007
347.6635,33.5007
344.7502,32.9908
344.7502,32.9908
344.7502,32.9908
