Loss_im,psnr
4763.4525,1.1559
4763.4525,1.1559
4763.4525,1.1559
18178.1901,13.5448
18178.1901,13.5448
18178.1901,13.5448
4621.0078,19.4584
4621.0078,19.4584
4621.0078,19.4584
2616.7271,19.6262
2616.7271,19.6262
2616.7271,19.6262
2140.5003,20.7561
2140.5003,20.7561
2140.5003,20.7561
1796.7523,21.9495
1796.7523,21.9495
1796.7523,21.9495
1613.7856,22.9562
1613.7856,22.9562
1613.7856,22.9562
1285.4484,24.0974
1285.4484,24.0974
1285.4484,24.0974
1414.1932,22.6394
1414.1932,22.6394
1414.1932,22.6394
1391.4302,23.1796
1391.4302,23.1796
1391.4302,23.1796
1234.8772,25.3907
1234.8772,25.3907
1234.8772,25.3907
971.865,24.8563
971.865,24.8563
971.865,24.8563
966.2831,25.2272
966.2831,25.2272
966.2831,25.2272
892.77,26.2774
892.77,26.2774
892.77,26.2774
809.8288,26.7653
809.8288,26.7653
809.8288,26.7653
905.1413,28.7726
905.1413,28.7726
905.1413,28.7726
788.7445,27.2033
788.7445,27.2033
788.7445,27.2033
739.3179,28.712
739.3179,28.712
739.3179,28.712
619.6523,29.2046
619.6523,29.2046
619.6523,29.2046
626.5702,29.258
626.5702,29.258
626.5702,29.258
661.2805,28.828
661.2805,28.828
661.2805,28.828
661.5127,28.8306
661.5127,28.8306
661.5127,28.8306
566.2044,29.6467
566.2044,29.6467
566.2044,29.6467
518.3735,29.9364
518.3735,29.9364
518.3735,29.9364
573.0094,28.5232
573.0094,28.5232
573.0094,28.5232
569.0251,29.3365
569.0251,29.3365
569.0251,29.3365
499.9644,28.9841
499.9644,28.9841
499.9644,28.9841
512.4126,29.8902
512.4126,29.8902
512.4126,29.8902
531.3568,30.9181
531.3568,30.9181
531.3568,30.9181
475.3157,29.4145
475.3157,29.4145
475.3157,29.4145
473.2001,30.9291
473.2001,30.9291
473.2001,30.9291
507.5892,30.2643
507.5892,30.2643
507.5892,30.2643
525.4722,30.4757
525.4722,30.4757
525.4722,30.4757
403.3306,30.538
403.3306,30.538
403.3306,30.538
471.1205,30.8025
471.1205,30.8025
471.1205,30.8025
421.5347,31.0018
421.5347,31.0018
421.5347,31.0018
472.9823,31.0952
472.9823,31.0952
472.9823,31.0952
423.5699,30.6835
423.5699,30.6835
423.5699,30.6835
437.3834,30.704
437.3834,30.704
437.3834,30.704
